activity_id;date;distance_in_m;split_no;average_speed_formatted;adjusted_grade_speed_formatted;average_speed;adjusted_grade_speed;elevation_difference_in_m;location;activity_type;pace_zone
9875739467;2023-09-18 20:07:53+00:00;1001,5;2;04:12;04:04;0 days 00:04:12.267003;0 days 00:04:04.268293;-6,7;Austria;Run;Zone5
9983196705;2023-10-05 17:29:00+00:00;998,3;5;04:12;04:13;0 days 00:04:12.734177;0 days 00:04:13.375635;-2,1;Austria;Run;Zone5
9339347850;2023-06-26 17:48:08+00:00;996,5;6;04:12;04:10;0 days 00:04:12.918782;0 days 00:04:10.376884;2,1;Austria;Run;Zone5
10322935298;2023-12-03 07:55:12+00:00;1001,9;6;04:13;04:11;0 days 00:04:13.005051;0 days 00:04:11.733668;3,1;Austria;Run;Zone5
9502082469;2023-07-22 18:40:44+00:00;1000,4;7;04:13;04:14;0 days 00:04:13.265823;0 days 00:04:14.554707;-4,5;Austria;Run;Zone5
10152810766;2023-11-03 12:06:03+00:00;999,5;2;04:13;04:16;0 days 00:04:13.680203;0 days 00:04:16.282051;-6,9;Austria;Run;Zone5
10322935298;2023-12-03 07:55:12+00:00;997,2;7;04:13;04:13;0 days 00:04:13.740458;0 days 00:04:13.740458;1,0;Austria;Run;Zone5
10322935298;2023-12-03 07:55:12+00:00;997,2;3;04:13;04:13;0 days 00:04:13.740458;0 days 00:04:13.096447;-0,2;Austria;Run;Zone5
9502082469;2023-07-22 18:40:44+00:00;997,4;5;04:13;04:25;0 days 00:04:13.791349;0 days 00:04:25.973333;-22,4;Austria;Run;Zone5
10025028572;2023-10-12 12:52:31+00:00;1002,9;2;04:13;04:13;0 days 00:04:13.898734;0 days 00:04:13.898734;0,8;Austria;Run;Zone5
9502082469;2023-07-22 18:40:44+00:00;1000,5;3;04:13;04:16;0 days 00:04:13.934010;0 days 00:04:16.538462;-5,9;Austria;Run;Zone5
10322935298;2023-12-03 07:55:12+00:00;998,0;9;04:13;04:12;0 days 00:04:13.944020;0 days 00:04:12.658228;3,8;Austria;Run;Zone5
10322935298;2023-12-03 07:55:12+00:00;1003,4;32;04:14;04:12;0 days 00:04:14.025316;0 days 00:04:12.110553;2,6;Austria;Run;Zone5
10152810766;2023-11-03 12:06:03+00:00;999,0;4;04:14;04:12;0 days 00:04:14.198473;0 days 00:04:12.911392;0,2;Austria;Run;Zone5
9445222192;2023-07-13 17:33:51+00:00;1001,6;8;04:14;04:14;0 days 00:04:14.213198;0 days 00:04:14.213198;-0,7;Austria;Run;Zone5
9445222192;2023-07-13 17:33:51+00:00;999,3;9;04:14;04:10;0 days 00:04:14.274809;0 days 00:04:10.451128;5,5;Austria;Run;Zone5
10234398047;2023-11-17 13:31:11+00:00;1000,9;13;04:14;04:02;0 days 00:04:14.681934;0 days 00:04:02.348668;18,3;Austria;Run;Zone5
9502082469;2023-07-22 18:40:44+00:00;998,7;8;04:14;04:13;0 days 00:04:14.770408;0 days 00:04:13.477157;-3,7;Austria;Run;Zone5
10322935298;2023-12-03 07:55:12+00:00;999,3;24;04:14;04:13;0 days 00:04:14.923469;0 days 00:04:13.629442;3,6;Austria;Run;Zone5
9875739467;2023-09-18 20:07:53+00:00;1002,1;4;04:14;04:14;0 days 00:04:14.987277;0 days 00:04:14.987277;-2,2;Austria;Run;Zone5
9757548261;2023-08-31 17:33:26+00:00;999,7;8;04:15;04:11;0 days 00:04:15.025510;0 days 00:04:11.180905;1,8;Austria;Run;Zone5
9983196705;2023-10-05 17:29:00+00:00;1000,0;9;04:15;04:15;0 days 00:04:15.102041;0 days 00:04:15.102041;-2,5;Austria;Run;Zone5
9502082469;2023-07-22 18:40:44+00:00;1000,0;6;04:15;04:17;0 days 00:04:15.102041;0 days 00:04:17.069409;-4,6;Austria;Run;Zone5
9507782957;2023-07-23 16:20:08+00:00;1000,6;6;04:15;04:02;0 days 00:04:15.255102;0 days 00:04:02.276029;5,4;Austria;Run;Zone5
10002621756;2023-10-08 18:31:21+00:00;998,2;2;04:15;04:07;0 days 00:04:15.294118;0 days 00:04:07.692308;11,1;Austria;Run;Zone5
10342090293;2023-12-07 09:29:24+00:00;999,7;14;04:15;04:02;0 days 00:04:15.677749;0 days 00:04:02.058111;6,2;Austria;Run;Zone5
9266575023;2023-06-14 19:31:17+00:00;997,3;4;04:15;04:13;0 days 00:04:15.717949;0 days 00:04:13.765903;2,7;Austria;Run;Zone5
9983196705;2023-10-05 17:29:00+00:00;1000,0;6;04:15;04:14;0 days 00:04:15.754476;0 days 00:04:14.452926;1,7;Austria;Run;Zone5
9848883738;2023-09-14 16:26:50+00:00;1000,2;5;04:15;04:17;0 days 00:04:15.805627;0 days 00:04:17.120823;-3,4;Austria;Run;Zone5
10025028572;2023-10-12 12:52:31+00:00;1001,1;1;04:16;04:16;0 days 00:04:16.035806;0 days 00:04:16.035806;0,5;Austria;Run;Zone4
10190343657;2023-11-09 18:28:00+00:00;998,7;15;04:16;04:09;0 days 00:04:16.735219;0 days 00:04:09.675000;2,3;Austria;Run;Zone4
9983196705;2023-10-05 17:29:00+00:00;1001,3;8;04:16;04:16;0 days 00:04:16.743590;0 days 00:04:16.743590;1,0;Austria;Run;Zone4
9693952970;2023-08-21 18:52:31+00:00;998,8;7;04:16;04:21;0 days 00:04:16.760925;0 days 00:04:21.465969;-11,2;Austria;Run;Zone4
9940483859;2023-09-29 00:27:06+00:00;997,3;7;04:17;04:20;0 days 00:04:17.036082;0 days 00:04:20.391645;-8,3;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;1000,1;31;04:17;04:15;0 days 00:04:17.095116;0 days 00:04:15.780051;1,7;Austria;Run;Zone4
9339347850;2023-06-26 17:48:08+00:00;1000,4;4;04:17;04:16;0 days 00:04:17.172237;0 days 00:04:16.512821;1,2;Austria;Run;Zone4
10201765302;2023-11-11 18:59:10+00:00;998,0;12;04:17;04:12;0 days 00:04:17.216495;0 days 00:04:12.020202;8,1;Austria;Run;Zone4
9940483859;2023-09-29 00:27:06+00:00;998,3;2;04:17;04:24;0 days 00:04:17.293814;0 days 00:04:24.100529;-14,7;Austria;Run;Zone4
10114148700;2023-10-27 15:34:29+00:00;997,8;12;04:17;04:16;0 days 00:04:17.829457;0 days 00:04:16.503856;1,4;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;1000,4;23;04:17;04:17;0 days 00:04:17.835052;0 days 00:04:17.172237;2,0;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;1003,0;17;04:17;04:19;0 days 00:04:17.840617;0 days 00:04:19.173127;-2,8;Austria;Run;Zone4
9253602425;2023-06-12 19:09:33+00:00;1001,1;10;04:18;04:13;0 days 00:04:18.015464;0 days 00:04:13.443038;7,3;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;998,9;4;04:18;04:17;0 days 00:04:18.113695;0 days 00:04:17.448454;0,1;Austria;Run;Zone4
9693952970;2023-08-21 18:52:31+00:00;999,2;2;04:18;04:24;0 days 00:04:18.191214;0 days 00:04:24.338624;-13,6;Austria;Run;Zone4
10322935298;2023-12-03 07:55:12+00:00;1002,1;12;04:18;04:16;0 days 00:04:18.273196;0 days 00:04:16.948718;1,2;Austria;Run;Zone4
9445222192;2023-07-13 17:33:51+00:00;997,1;7;04:18;04:20;0 days 00:04:18.316062;0 days 00:04:20.339426;-5,2;Austria;Run;Zone4
10002621756;2023-10-08 18:31:21+00:00;1002,3;1;04:18;04:18;0 days 00:04:18.324742;0 days 00:04:18.992248;-3,9;Austria;Run;Zone4
9426445102;2023-07-10 19:07:10+00:00;998,5;7;04:18;04:18;0 days 00:04:18.678756;0 days 00:04:18.678756;-3,5;Austria;Run;Zone4
